UFN,UFN,BOX #,WELL #,UFN,NOTES
3133,U3133,CU5,45,U3133,
3134,U3134,CU5,47,U3134,
3135,U3135,CU5,49,U3135,
3136,U3136,CU5,52,U3136,
3137,U3137,CU5,54,U3137,
3138,U3138,CU5,56,U3138,
3139,U3139,CU5,58,U3139,
3140,U3140,CU5,60,U3140,
3141,U3141,CU5,61,U3141,
3142,U3142,CU5,63,U3142,
3143,U3143,CU5,65,U3143,
3144,U3144,CU5,67,U3144,
3145,U3145,CU5,69,U3145,
3146,U3146,CU5,72,U3146,
3147,U3147,CU5,74,U3147,
3148,U3148,CU5,76,U3148,
3149,U3149,CU5,78,U3149,
3150,U3150,CU5,80,U3150,
3151,U3151,CU5,81,U3151,
3152,U3152,CU5,83,U3152,
3153,U3153,CU5,85,U3153,
3154,U3154,CU5,87,U3154,
2665,U2665,CU5,89,U2665,
2664,U2664,CU5,92,U2664,
2663,U2663,CU5,94,U2663,
2662,U2662,CU5,96,U2662,
2661,U2661,CU5,98,U2661,
2660,U2660,CU5,100,U2660,
3242,U3242,HE1,1,U3242,
3243,U3243,HE1,3,U3243,
3244,U3244,HE1,5,U3244,
3245,U3245,HE1,7,U3245,
3246,U3246,HE1,9,U3246,
3247,U3247,HE1,12,U3247,
3248,U3248,HE1,14,U3248,
3249,U3249,HE1,16,U3249,
3250,U3250,HE1,18,U3250,
3251,U3251,HE1,20,U3251,
3252,U3252,HE1,21,U3252,
3253,U3253,HE1,23,U3253,
3254,U3254,HE1,25,U3254,
3255,U3255,HE1,27,U3255,
3256,U3256,HE1,29,U3256,
3257,U3257,HE1,32,U3257,
3258,U3258,HE1,34,U3258,
3259,U3259,HE1,36,U3259,
3260,U3260,HE1,38,U3260,
3261,U3261,HE1,40,U3261,
3262,U3262,HE1,41,U3262,
3263,U3263,HE1,43,U3263,
3264,U3264,HE1,45,U3264,
3265,U3265,HE1,47,U3265,
3266,U3266,HE1,49,U3266,
3267,U3267,HE1,52,U3267,
3268,U3268,HE1,54,U3268,
3269,U3269,HE1,56,U3269,
3270,U3270,HE1,58,U3270,
3271,U3271,HE1,60,U3271,
3272,U3272,HE1,61,U3272,
3273,U3273,HE1,63,U3273,
3274,U3274,HE1,65,U3274,
3275,U3275,HE1,67,U3275,
3276,U3276,HE1,69,U3276,
3277,U3277,HE1,72,U3277,
3278,U3278,HE1,74,U3278,
3279,U3279,HE1,76,U3279,
3280,U3280,HE1,78,U3280,
3282,U3282,HE1,81,U3282,
3283,U3283,HE1,83,U3283,
3284,U3284,HE1,85,U3284,
2550,U2550,HE1,98,U2550,
2549,U2549,HE1,100,U2549,
U4314,U4314,NA,NA,U4314,Could not find sample.
U245,U245,NA,NA,U245,Could not find sample.
U873,U873,NA,NA,U873,Could not find sample.
3203,U3203,PI4,1,U3203,
3204,U3204,PI4,3,U3204,
3205,U3205,PI4,5,U3205,
3206,U3206,PI4,7,U3206,
3207,U3207,PI4,9,U3207,
