sampleID,barcode,name,description,note,quantity,expiration,created,Storage,storageLayerName,Storage Position,storageLayerID,fullName,clonedFrom,clonedFromSampleID,Sample Status,Tissue Type
7217925,S20509RG1,S20509RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,G.5,599576,elab JSP,,,Collected,Gill
7217927,S20504RG1,S20504RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,E.5,599576,elab JSP,,,Collected,Gill
7217928,S20510RG1,S20510RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,F.5,599576,elab JSP,,,Collected,Gill
7217930,S20541RG1,S20541RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,D.5,599576,elab JSP,,,Collected,Gill
7217931,S20549RG1,S20549RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,C.5,599576,elab JSP,,,Collected,Gill
7217933,S20550RG1,S20550RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,B.5,599576,elab JSP,,,Collected,Gill
7217936,S20546RG1,S20546RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,A.5,599576,elab JSP,,,Collected,Gill
7217937,S20545RG1,S20545RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,H.7,599576,elab JSP,,,Collected,Gill
7217939,S20542RG1,S20542RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,G.7,599576,elab JSP,,,Collected,Gill
7219320,S22000RG1,S22000RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN83G,G.1,609609,elab JSP,,,Collected,Gill
7219322,S22077RG1,S22077RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,F.3,597164,elab JSP,,,Collected,Gill
7219323,S22071RG1,S22071RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.3,597164,elab JSP,,,Collected,Gill
7219325,S22079RG1,S22079RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,H.3,597164,elab JSP,,,Collected,Gill
7219326,S22076RG1,S22076RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.3,597164,elab JSP,,,Collected,Gill
7219329,S22078RG1,S22078RG1,,,,,2019-07-12 17:31,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.3,597164,elab JSP,,,Collected,Gill
