seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,seine_comments
DN415,DE315,NA,targeted,40,09:50:00,50.391225,-125.365332,15,15,10,100,9,80,0,0,0,0,NA,NA,1,NA
DN416,DE316,NA,NA,30,13:15:00,50.348144,-125.455654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN417,DE317,1,random,NA,06:34:00,50.305971,-125.334369,0,0,0,0,0,0,0,0,0,0,NA,NA,1,random blind set thus no other data collected
DN418,DE317,2,random,NA,06:59:00,50.305971,-125.334369,0,0,0,0,0,0,0,0,0,0,NA,NA,1,random blind set thus no other data collected
DN419,DE317,3,random,NA,07:40:00,50.305971,-125.334369,0,0,0,0,0,0,0,0,0,0,NA,NA,1,random blind set thus no other data collected
DN420,DE320,NA,targeted,11,08:47:00,50.235322,-125.39888,30,200,10,400,10,400,0,0,0,0,NA,NA,1,mort due to miscount
DN421,DE321,NA,targeted,2,11:58:00,50.275083,-125.381356,6,6,10,500,10,20,0,0,0,0,NA,NA,1,mort due to miscount. DS00996 clip removed because it was a pink not a sockeye.
DN422,DE322,NA,targeted,3,14:20:00,50.307203,-125.332605,30,100,10,100,10,200,0,0,0,0,NA,NA,1,"3 random sets conducted over DFO accoustic moorings. 1) 06:34 @ 50.305971N, 125.334369W - Dimpling observed but no fish in net. 2) 06:59 @ same as 1st set - some dimpling observed, no fish in net. 3) 07:40 @ western mooring. No surface activity observed, no fish."
DN423,DE323,1,targeted,52,06:58:00,50.319224,-125.044219,0,0,0,0,0,0,0,0,0,0,NA,NA,1,"Sampling with DFO. Chrys Neville/Nordic Queen first set time: 06:33. One splash and one dimple ovserved, but not deemed 'settable school'. No other surface activity observed in area. DFO also reported minimal fish in their catch, almost no sockeye."
DN424,DE323,2,random,52,07:20:00,50.319224,-125.044219,0,0,0,0,0,0,0,0,0,0,NA,NA,1,"Sampling with DFO. Chrys Neville/Nordic Queen second set time: 07:00. Zero surface activity and no fish. DFO also reported minimal fish in their catch, almost no sockeye."
DN425,DE325,1,targeted,0,08:50:00,50.238067,-125.1179,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA
DN426,DE325,2,targeted,0,09:22:00,50.238067,-125.1179,0,0,0,0,0,0,0,0,0,0,NA,NA,1,"Sparse splashing, no fish."
